Id_AFAD,Year,Month,Day,Hour,Min,Sec,Ev_Lat,Ev_Lon,Ev_Depth,Ml,StdMl,Rms,Erh,Erz,Gap,Np,Ns,Ntot,CovX,CovY,CovZ,CovT
438223,2019,4,26,5,11,45.77,37.3845,37.0542,13.88,2.72,0.18,0.2,0.8,0.6,88,12,12,24,0.4,0.4,0.3,0.6
438279,2019,4,26,18,56,31.85,39.1852,41.284,21.25,3.02,0.34,0.22,0.7,0.7,82,15,14,29,0.2,0.3,0.6,0.7
438343,2019,4,27,19,39,13.25,38.7298,38.1297,22.98,3.05,0.17,0.23,1.7,1.5,73,9,7,16,0.9,1.9,2.1,3
438391,2019,4,28,14,59,19.83,39.94,39.704,8.71,3.12,0.29,0.22,1.1,1.5,61,14,14,28,0.5,0.8,2.3,2.5
438393,2019,4,28,15,9,3.96,39.9457,39.6968,6.83,2.67,0.22,0.22,0.7,1.6,68,12,14,26,0.3,0.2,2.6,2.6
438403,2019,4,28,18,22,6.23,38.758,38.1293,23.68,3.2,0.29,0.25,1,1.3,69,12,11,23,0.5,0.6,1.6,1.8
438435,2019,4,29,5,25,16.07,38.7565,38.1275,23.8,3.29,0.2,0.22,1.4,1.8,99,8,9,17,0.6,1.3,3.2,3.5
438472,2019,4,29,18,34,20.48,37.712,37.4258,8.07,2.37,0.16,0.18,1.1,2.8,99,9,7,16,0.6,0.6,7.6,7.7
438505,2019,4,30,6,54,30.58,38.4178,39.0918,10.71,2.97,0.1,0.28,0.9,1.2,71,10,9,19,0.4,0.3,1.5,1.6
438532,2019,4,30,17,16,35.27,39.2148,41.3727,20.09,3.46,0.29,0.17,0.8,0.6,63,19,16,35,0.3,0.3,0.3,0.5
438554,2019,5,1,6,14,39.23,38.758,38.1185,24.91,3.07,0.28,0.24,2.2,2.5,73,9,9,18,1,3.8,6.1,7.3
438742,2019,5,4,10,19,39.59,39.1908,41.8973,19.02,3.13,0.24,0.2,1.1,1.4,96,14,11,25,0.8,0.5,2,2.2
438898,2019,5,7,21,24,27.8,37.4968,37.0408,4.82,2.64,0.17,0.32,0.9,0.8,45,20,21,41,0.3,0.5,0.6,0.8
438899,2019,5,8,1,58,33.57,37.3198,36.2817,16.9,4.02,0.22,0.22,0.5,0.4,41,35,16,51,0.1,0.1,0.2,0.2
438900,2019,5,8,2,9,2.79,39.4567,36.6112,15.56,3.42,0.22,0.2,1.7,1.4,181,13,6,19,0.7,2,1.9,2.9
440167,2019,5,13,4,19,37.07,39.1375,41.6478,17.39,2.75,0.28,0.13,0.7,0.6,100,11,11,22,0.3,0.2,0.3,0.5
440253,2019,5,14,7,34,34.7,38.377,41.9602,7.32,3.58,0.2,0.15,1,0.5,109,13,11,24,0.5,0.5,0.2,0.8
440346,2019,5,15,14,23,28.18,38.8338,41.943,18.98,3,0.3,0.18,1.4,1.4,61,10,11,21,0.5,1.5,2,2.5
440562,2019,5,19,21,13,7.38,36.822,37.1347,6.01,2.82,0.19,0.3,1.1,1.2,126,20,16,36,0.8,0.4,1.5,1.7
440565,2019,5,19,23,48,16.68,36.9125,38.3073,4.7,2.37,0.27,0.14,2,4.8,295,6,7,13,1.6,2.6,22.8,23
440604,2019,5,20,17,16,48.38,38.4122,39.0667,2.55,3.42,0.18,0.16,2.9,1.9,163,12,8,20,7,1.7,3.8,8.1
440695,2019,5,22,6,34,10.09,39.6153,38.7078,8.19,3.98,0.2,0.28,0.8,1.6,73,18,10,28,0.4,0.2,2.5,2.6
440757,2019,5,22,23,39,55.91,37.4293,35.9043,19.42,3.31,0.25,0.35,1.2,0.8,53,30,17,47,0.6,0.7,0.6,1.2
440772,2019,5,23,4,24,49.2,37.4322,35.915,16.11,2.58,0.29,0.16,1,0.6,77,12,11,23,0.2,0.7,0.4,0.8
440797,2019,5,23,17,36,23.85,37.4518,35.8408,16.15,2.83,0.25,0.21,0.9,0.6,58,17,15,32,0.3,0.4,0.3,0.6
441180,2019,5,29,19,42,25.43,39.2752,39.9022,13.14,4.77,0.27,0.18,0.6,0.9,77,20,12,32,0.1,0.3,0.8,0.9
441177,2019,5,29,19,42,25.43,39.278,39.8985,13.09,4.8,0.26,0.18,0.6,0.9,77,19,12,31,0.2,0.3,0.8,0.9
441235,2019,5,30,11,27,7.58,39.2822,39.9003,13.36,3.72,0.26,0.23,0.7,1,76,16,13,29,0.2,0.3,1,1.1
441249,2019,5,30,17,41,18.16,36.912,36.7485,6.36,2.95,0.17,0.31,1,0.9,70,18,17,35,0.5,0.4,0.9,1.1
441257,2019,5,30,20,33,23.69,37.317,36.2852,12.69,2.47,0.22,0.31,0.9,1.1,76,15,11,26,0.2,0.7,1.3,1.5
441298,2019,5,31,16,7,33.35,37.5278,35.6925,10.81,2.62,0.26,0.37,1.2,2,89,13,11,24,0.4,0.9,4.1,4.2
441369,2019,6,2,3,28,49.73,39.3877,39.1325,15.12,2.76,0.25,0.21,0.8,1.3,92,14,15,29,0.2,0.5,1.8,1.9
441483,2019,6,4,8,22,22.09,39.2767,39.8932,7.32,2.96,0.23,0.2,0.8,1.6,77,14,13,27,0.4,0.2,2.5,2.5
441533,2019,6,5,16,12,20.1,39.3807,39.1308,9.55,3,0.28,0.23,0.9,0.9,69,12,15,27,0.5,0.4,0.8,1
